contrast,peak_t_idx,peak_time_s,TA_peak,TAFC_peak,TA_minus_chance
1,29,20.16,0.814556962025317,0.893037974683544,0.314556962025317
2,38,26.64,0.849367088607595,0.932278481012658,0.349367088607595
3,14,9.36,0.825632911392405,0.920253164556962,0.325632911392405
4,34,23.76,0.803481012658228,0.884177215189873,0.303481012658228
5,2,0.72,0.809810126582279,0.868987341772152,0.309810126582279
6,41,28.8,0.828164556962025,0.913291139240506,0.328164556962025
