time_s,TA_mean,TA_se,TAFC_mean,TAFC_se
0,0.733860759493671,0.00683326821571971,0.792405063291139,0.0100345585566714
0.72,0.709177215189873,0.00648500551033078,0.787341772151899,0.00987358854632797
1.44,0.687974683544304,0.00483975237968532,0.750632911392405,0.0101888492043023
2.16,0.686708860759494,0.00621991066198015,0.745569620253165,0.00773248748593956
2.88,0.732594936708861,0.00521255261481609,0.817721518987342,0.00807916706118897
3.6,0.75126582278481,0.00604108082796934,0.865822784810126,0.00618762570073354
4.32,0.737025316455696,0.00648500551033078,0.850632911392405,0.00798467062842299
5.04,0.710443037974683,0.00817353827935707,0.784810126582279,0.0074037677451342
5.76,0.692721518987342,0.00549989285902901,0.781012658227848,0.00941450447586129
6.48,0.658544303797468,0.00781216925357617,0.724050632911392,0.0103326795585689
7.2,0.619303797468355,0.00648175365829714,0.703164556962025,0.00844034518725214
7.92,0.618670886075949,0.00752906981524158,0.675316455696203,0.0133796740360956
8.64,0.634493670886076,0.00935243600718575,0.693037974683544,0.0102620436792642
9.36,0.680379746835443,0.00590697471194133,0.734177215189874,0.00899770447229001
10.08,0.665189873417722,0.0082380913023705,0.721518987341772,0.0102671785525799
10.8,0.628481012658228,0.00685829083031002,0.696835443037975,0.00858891063001029
11.52,0.612658227848101,0.00771884271178981,0.684810126582278,0.00988639199481855
12.24,0.611392405063291,0.00514179645863035,0.671518987341772,0.0073738072941379
12.96,0.648101265822785,0.00542122583684163,0.712025316455696,0.0075097936826086
13.68,0.695253164556962,0.0065141991302516,0.768987341772152,0.00542316997383683
14.4,0.716772151898734,0.00576929563960786,0.825949367088608,0.00661416710581771
15.12,0.743037974683544,0.00516225732919667,0.863291139240506,0.00646750758135195
15.84,0.733860759493671,0.00462536108910769,0.827848101265823,0.00561606220272021
16.56,0.735759493670886,0.00521255261481609,0.825316455696203,0.00702983151333266
17.28,0.684810126582278,0.00683519628444003,0.755696202531646,0.00774338599379501
18,0.725632911392405,0.00623303151154651,0.791772151898734,0.00665230774165987
18.72,0.732911392405063,0.00530724750610378,0.824050632911392,0.00903978282094032
19.44,0.765822784810127,0.00731784103125525,0.85,0.00663961854032736
20.16,0.796518987341772,0.00733618466882281,0.877848101265823,0.00753221939488792
20.88,0.777215189873418,0.00446592762676035,0.860759493670886,0.00687211030418528
21.6,0.732594936708861,0.0043771187040682,0.825316455696203,0.00626886715320333
22.32,0.742088607594937,0.00556467817198138,0.823417721518987,0.00708212085422573
23.04,0.779430379746836,0.0058491387216399,0.884177215189873,0.00676543964927245
23.76,0.803481012658228,0.00748131476318529,0.884177215189873,0.00712959266077765
24.48,0.786075949367089,0.00704780299092408,0.85506329113924,0.00562169046089172
25.2,0.784177215189873,0.00490035986914031,0.860126582278481,0.00748730080188916
25.92,0.764556962025316,0.00542511341413352,0.84746835443038,0.00515203705124625
26.64,0.754113924050633,0.0052608646198408,0.835443037974684,0.00502986971037358
27.36,0.744303797468354,0.00687824338019773,0.830379746835443,0.00736951728662216
28.08,0.751898734177215,0.00633909938478079,0.842405063291139,0.00737380729413789
28.8,0.744620253164557,0.00644914495612606,0.832911392405064,0.00869260835725521
