time_s,TA_mean,TA_se,TAFC_mean,TAFC_se
0,0.75379746835443,0.00485714597529852,0.825316455696203,0.00782464095751795
0.72,0.737974683544304,0.00553666587751202,0.814556962025316,0.00718849157696237
1.44,0.726582278481013,0.00329830614110235,0.794303797468354,0.00799917982960428
2.16,0.688607594936709,0.00719582004412906,0.736708860759494,0.008141555378104
2.88,0.672784810126582,0.00773930085186268,0.737341772151899,0.00971320673672441
3.6,0.660759493670886,0.00553666587751201,0.727848101265823,0.00960955258881327
4.32,0.665506329113924,0.00606154953088075,0.722784810126582,0.0105866510575237
5.04,0.699683544303797,0.00683326821571971,0.762025316455696,0.0129415331853714
5.76,0.665822784810126,0.00778682749029772,0.724050632911393,0.00844658758525601
6.48,0.687974683544304,0.00549270063304249,0.739240506329114,0.0068966098838681
7.2,0.716455696202532,0.00393917268463544,0.769620253164557,0.00819318275264128
7.92,0.763291139240506,0.00457782624611231,0.839873417721519,0.00670282433042246
8.64,0.789873417721519,0.00610184908516039,0.871518987341772,0.00631410612389724
9.36,0.825632911392405,0.00524481006516001,0.920253164556962,0.00551759359941857
10.08,0.789873417721519,0.00520698824050326,0.898101265822785,0.0082380913023705
10.8,0.746835443037975,0.00609147472387073,0.850632911392405,0.00626886715320333
11.52,0.706329113924051,0.00643482668710842,0.760126582278481,0.00920502803771295
12.24,0.666139240506329,0.00487826056996223,0.731645569620253,0.00930185978272093
12.96,0.683544303797468,0.00626213728851158,0.745569620253165,0.012453372331599
13.68,0.668987341772152,0.00533695802469313,0.729746835443038,0.0102784662441681
14.4,0.660126582278481,0.00707020309928718,0.701898734177215,0.00839023880688302
15.12,0.665506329113924,0.00515970415760314,0.716455696202532,0.00920159182977724
15.84,0.643354430379747,0.0091288440131063,0.695569620253165,0.0103683253974826
16.56,0.660126582278481,0.0064789069488956,0.730379746835443,0.00886075949367089
17.28,0.681329113924051,0.00631702709969154,0.74873417721519,0.0084303477360831
18,0.704746835443038,0.00616501112573913,0.764556962025317,0.00868290136555369
18.72,0.69873417721519,0.00507991939792358,0.760759493670886,0.00927007398390055
19.44,0.698101265822785,0.00541538923816017,0.765822784810127,0.0106897058746592
20.16,0.666455696202532,0.00803337013429525,0.715189873417722,0.0111151395746798
20.88,0.640506329113924,0.00680428162447003,0.692405063291139,0.0086195394649283
21.6,0.703164556962025,0.00492182453546873,0.777848101265823,0.00683982143188557
22.32,0.746835443037975,0.00730342162605047,0.816455696202532,0.00792636823751029
23.04,0.713924050632911,0.00569064796910396,0.775316455696203,0.00628733713796698
23.76,0.711708860759494,0.00625329334966505,0.796835443037975,0.00844034518725214
24.48,0.717088607594937,0.0057916352455937,0.799367088607595,0.00707020309928718
25.2,0.690822784810127,0.00486527781754871,0.733544303797469,0.00803074527876552
25.92,0.648417721518987,0.00632036370475699,0.674683544303797,0.0108696403825779
26.64,0.665189873417721,0.00741657088846757,0.700632911392405,0.00568137829693082
27.36,0.725632911392405,0.00593856660645418,0.787341772151899,0.00849636166125509
28.08,0.786392405063291,0.0059845410105982,0.837341772151899,0.00838018157964593
28.8,0.776582278481013,0.00551185904709894,0.833544303797468,0.00604108082796934
