Contrast,PeakTA,PeakTA_t,PeakPMZ,PeakPMZ_t,PeakAbsPMZ,PeakAbsPMZ_t
Body_LoadDiff_vs_Face_LoadDiff,0.782745900217531,23.04,1.06933001175875,23.04,1.06933001175875,23.04
Body_LoadDiff_vs_Place_LoadDiff,0.8461046268137,25.2,1.3899120242868,25.2,1.3899120242868,25.2
Body_LoadDiff_vs_Tool_LoadDiff,0.806706026289529,28.08,1.08151919122542,9.36,1.08151919122542,9.36
Face_LoadDiff_vs_Place_LoadDiff,0.833272620244919,20.16,1.3075759618612,20.16,1.3075759618612,20.16
Face_LoadDiff_vs_Tool_LoadDiff,0.802769165320254,0.72,1.1134727795792,0.72,1.1134727795792,0.72
Place_LoadDiff_vs_Tool_LoadDiff,0.878473481422264,2.88,1.4494943210961,2.88,1.4494943210961,2.88
