Contrast,PeakTA,PeakTA_t,PeakPMZ,PeakPMZ_t,PeakAbsPMZ,PeakAbsPMZ_t
Body_LoadDiff_vs_Face_LoadDiff,0.751916178743067,0,0.95300561407199,0,0.95300561407199,0
Body_LoadDiff_vs_Place_LoadDiff,0.736962439323335,26.64,0.80257771628206,0,0.80257771628206,0
Body_LoadDiff_vs_Tool_LoadDiff,0.811265782814243,4.32,1.11836075690353,4.32,1.11836075690353,4.32
Face_LoadDiff_vs_Place_LoadDiff,0.747371483233851,20.16,0.867354901594091,20.16,0.867354901594091,20.16
Face_LoadDiff_vs_Tool_LoadDiff,0.817825997589322,0.72,1.12127276004794,0.72,1.12127276004794,0.72
Place_LoadDiff_vs_Tool_LoadDiff,0.767429756528031,0,0.953721051047119,28.08,0.953721051047119,28.08
