Contrast,PeakTA,PeakTA_t,PeakTAFC,PeakTAFC_t
Present_MathMinusStory_vs_Question_MathMinusStory,0.713597215349683,7.2,0.524131479094901,7.2
Present_MathMinusStory_vs_Response_MathMinusStory,0.697043732631314,1.44,0.504311687438765,2.16
Question_MathMinusStory_vs_Response_MathMinusStory,0.72099968994762,1.44,0.547699580632332,2.16
