Contrast,PeakTA,PeakTA_t,PeakTAFC,PeakTAFC_t
Present_MathMinusStory_vs_Question_MathMinusStory,0.999652761032071,22.32,1,9.36
Present_MathMinusStory_vs_Response_MathMinusStory,0.999827586206896,28.8,1,0
Question_MathMinusStory_vs_Response_MathMinusStory,0.999482558981039,3.6,1,0
