Contrast,PeakTA,PeakTA_t,PeakTAFC,PeakTAFC_t
Body_LoadDiff_vs_Face_LoadDiff,0.812246223499705,23.76,0.897810158149047,23.76
Body_LoadDiff_vs_Place_LoadDiff,0.845357609264682,26.64,0.926734325869952,24.48
Body_LoadDiff_vs_Tool_LoadDiff,0.815778182266887,9.36,0.888486297883703,9.36
Face_LoadDiff_vs_Place_LoadDiff,0.791212037713317,23.76,0.887595958588967,23.76
Face_LoadDiff_vs_Tool_LoadDiff,0.794856682679838,0.72,0.856287548354632,0
Place_LoadDiff_vs_Tool_LoadDiff,0.839582910532171,28.8,0.910107213320156,28.08
