Contrast,PeakTA,PeakTA_t,PeakPMZ,PeakPMZ_t,PeakAbsPMZ,PeakAbsPMZ_t
Body_LoadDiff_vs_Face_LoadDiff,0.529607675433397,26.64,0.109409485448599,25.92,0.109409485448599,25.92
Body_LoadDiff_vs_Place_LoadDiff,0.551231733364115,28.8,0.175126143971733,28.8,0.175126143971733,28.8
Body_LoadDiff_vs_Tool_LoadDiff,0.706821546691023,0,0.691138118403988,0,0.691138118403988,0
Face_LoadDiff_vs_Place_LoadDiff,0.547835696016277,10.08,0.177409285808233,10.08,0.177409285808233,10.08
Face_LoadDiff_vs_Tool_LoadDiff,0.700731769357509,0,0.65577257143068,0,0.65577257143068,0
Place_LoadDiff_vs_Tool_LoadDiff,0.709509683538476,0,0.692022599184021,0,0.692022599184021,0
