Contrast,PeakTA,PeakTA_t,PeakTAFC,PeakTAFC_t
error_vs_match,0.815262360960521,4.32,0.892908081995406,4.32
error_vs_relation,0.892187543467889,4.32,0.95174671482876,4.32
match_vs_relation,0.684482065601164,24.48,0.757749797993891,24.48
