Contrast,NsHRF,NcHRFderiv,NcHRF,Inter_sHRF_cHRFderiv,Jaccard_sHRF_cHRFderiv,Inter_sHRF_cHRF,Jaccard_sHRF_cHRF,Inter_cHRFderiv_cHRF,Jaccard_cHRFderiv_cHRF,IntersectionAll3
body,484,482,433,479,0.983572895277207,430,0.882956878850103,430,0.88659793814433,428
faces,315,468,344,298,0.614432989690722,275,0.716145833333333,341,0.723991507430998,272
places,454,486,487,452,0.926229508196721,453,0.92827868852459,485,0.993852459016393,451
tools,395,421,460,331,0.682474226804124,379,0.796218487394958,400,0.831600831600832,321
