TimePoint,body_vs_faces,body_vs_places,body_vs_tools,faces_vs_places,faces_vs_tools,places_vs_tools
1,0.743037974683544,0.694303797468354,0.75253164556962,0.738607594936709,0.812658227848101,0.732911392405064
2,0.730379746835443,0.688607594936709,0.739873417721519,0.725949367088608,0.804430379746836,0.732911392405064
3,0.727848101265823,0.665822784810127,0.730379746835443,0.678481012658228,0.765822784810127,0.707594936708861
4,0.671518987341772,0.706329113924051,0.665822784810127,0.650632911392405,0.660759493670886,0.690506329113924
5,0.658860759493671,0.736075949367089,0.628481012658228,0.732911392405063,0.637341772151899,0.644303797468354
6,0.703164556962025,0.761392405063291,0.691772151898734,0.775949367088608,0.75126582278481,0.64746835443038
7,0.728481012658228,0.761392405063291,0.678481012658228,0.772151898734177,0.776582278481013,0.613291139240506
8,0.784810126582279,0.714556962025317,0.687974683544304,0.732278481012658,0.741139240506329,0.659493670886076
9,0.787341772151899,0.668354430379747,0.675949367088608,0.722784810126582,0.732278481012658,0.673417721518987
10,0.778481012658228,0.704430379746836,0.676582278481013,0.670886075949367,0.670253164556962,0.684177215189874
11,0.74746835443038,0.751898734177215,0.692405063291139,0.640506329113924,0.646835443037975,0.699367088607595
12,0.726582278481013,0.781012658227848,0.75253164556962,0.601898734177215,0.616455696202532,0.70253164556962
13,0.74746835443038,0.815822784810127,0.823417721518988,0.603164556962025,0.618987341772152,0.656962025316456
14,0.728481012658228,0.856962025316456,0.842405063291139,0.667721518987342,0.656962025316456,0.660759493670886
15,0.733544303797468,0.872784810126582,0.825316455696203,0.698101265822785,0.663291139240506,0.638607594936709
16,0.762025316455696,0.813291139240506,0.755063291139241,0.64873417721519,0.70379746835443,0.613291139240506
17,0.753797468354431,0.735443037974684,0.680379746835443,0.613924050632911,0.659493670886076,0.638607594936709
18,0.770253164556962,0.720253164556962,0.675949367088608,0.641139240506329,0.727215189873418,0.634177215189873
19,0.781012658227848,0.737341772151899,0.682911392405063,0.673417721518987,0.742405063291139,0.648101265822785
20,0.767721518987342,0.767721518987342,0.711392405063291,0.70379746835443,0.734177215189874,0.651898734177215
21,0.755696202531646,0.761392405063291,0.661392405063291,0.742405063291139,0.739240506329114,0.695569620253165
22,0.717721518987342,0.789240506329114,0.632278481012658,0.777848101265823,0.709493670886076,0.756329113924051
23,0.632911392405063,0.788607594936709,0.627848101265823,0.755063291139241,0.656962025316456,0.731645569620253
24,0.593037974683544,0.794303797468355,0.644936708860759,0.729746835443038,0.626582278481013,0.643670886075949
25,0.604430379746835,0.775316455696203,0.65,0.703164556962025,0.631012658227848,0.671518987341772
26,0.631012658227848,0.738607594936709,0.655696202531646,0.721518987341772,0.693037974683544,0.688607594936709
27,0.706329113924051,0.756962025316456,0.65253164556962,0.74873417721519,0.651898734177215,0.746835443037975
28,0.80253164556962,0.79367088607595,0.674683544303797,0.769620253164557,0.660759493670886,0.801898734177215
29,0.782278481012658,0.829113924050633,0.665189873417722,0.774050632911393,0.709493670886076,0.832911392405063
30,0.728481012658228,0.85379746835443,0.626582278481013,0.795569620253165,0.696835443037975,0.810126582278481
31,0.712025316455696,0.823417721518987,0.669620253164557,0.758860759493671,0.641139240506329,0.759493670886076
32,0.74873417721519,0.745569620253165,0.734177215189874,0.708227848101266,0.649367088607595,0.708860759493671
33,0.781012658227848,0.767721518987342,0.75126582278481,0.771518987341772,0.681645569620253,0.706329113924051
34,0.799367088607595,0.842405063291139,0.691139240506329,0.810759493670886,0.676582278481013,0.755063291139241
35,0.8,0.856329113924051,0.672151898734177,0.790506329113924,0.692405063291139,0.745569620253165
36,0.723417721518987,0.861392405063291,0.683544303797468,0.79746835443038,0.64873417721519,0.668354430379747
37,0.712658227848101,0.851898734177215,0.608860759493671,0.774683544303798,0.607594936708861,0.663924050632911
38,0.742405063291139,0.843037974683544,0.616455696202532,0.738607594936709,0.618987341772152,0.723417721518987
39,0.75126582278481,0.863291139240506,0.705063291139241,0.753164556962026,0.699367088607595,0.780379746835443
40,0.763291139240507,0.869620253164557,0.763291139240506,0.755063291139241,0.729746835443038,0.815822784810127
41,0.74367088607595,0.838607594936709,0.776582278481013,0.744303797468355,0.743037974683544,0.813924050632912
