TimePoint,body_vs_faces,body_vs_places,body_vs_tools,faces_vs_places,faces_vs_tools,places_vs_tools
1,0.697784810126582,0.650632911392405,0.700632911392405,0.699050632911392,0.776582278481013,0.708860759493671
2,0.69873417721519,0.648101265822785,0.706012658227848,0.699683544303797,0.777848101265823,0.695886075949367
3,0.681962025316456,0.644303797468355,0.692088607594937,0.653164556962025,0.719936708860759,0.662341772151899
4,0.641772151898734,0.661075949367089,0.636708860759494,0.625949367088608,0.629430379746835,0.654113924050633
5,0.65126582278481,0.676898734177215,0.613291139240506,0.676582278481013,0.60506329113924,0.616455696202532
6,0.664873417721519,0.696835443037975,0.652848101265823,0.705379746835443,0.681329113924051,0.606329113924051
7,0.695253164556962,0.712341772151899,0.660443037974684,0.709810126582278,0.724050632911392,0.593354430379747
8,0.720886075949367,0.677848101265823,0.656012658227848,0.690822784810127,0.720886075949367,0.634810126582279
9,0.743670886075949,0.637974683544304,0.648417721518988,0.680063291139241,0.719303797468354,0.647784810126582
10,0.72120253164557,0.671518987341772,0.637025316455696,0.629113924050633,0.653164556962025,0.656645569620253
11,0.699683544303797,0.708227848101266,0.664240506329114,0.610443037974684,0.635443037974684,0.668987341772152
12,0.688291139240506,0.729113924050633,0.724683544303797,0.594620253164557,0.610759493670886,0.643037974683544
13,0.712025316455696,0.754430379746835,0.759493670886076,0.590189873417721,0.623101265822785,0.645569620253164
14,0.693670886075949,0.804113924050633,0.771835443037975,0.640506329113924,0.651582278481013,0.637341772151899
15,0.699683544303797,0.787341772151899,0.762025316455696,0.65253164556962,0.643037974683544,0.626582278481013
16,0.734810126582279,0.715506329113924,0.714873417721519,0.613924050632911,0.664240506329114,0.594303797468355
17,0.730379746835443,0.694620253164557,0.651898734177215,0.604430379746835,0.62373417721519,0.625949367088607
18,0.749683544303798,0.68006329113924,0.639873417721519,0.613291139240506,0.692088607594937,0.617405063291139
19,0.748417721518987,0.681012658227848,0.649050632911392,0.641772151898734,0.706962025316456,0.620253164556962
20,0.732911392405063,0.69746835443038,0.666139240506329,0.657278481012658,0.706329113924051,0.622151898734177
21,0.706962025316456,0.714556962025316,0.642088607594937,0.682911392405063,0.70253164556962,0.668354430379747
22,0.660126582278481,0.707278481012658,0.624050632911393,0.720253164556962,0.679113924050633,0.706329113924051
23,0.613924050632911,0.717721518987342,0.607911392405063,0.695886075949367,0.64620253164557,0.685759493670886
24,0.582911392405063,0.729746835443038,0.626582278481013,0.67373417721519,0.615506329113924,0.645886075949367
25,0.60126582278481,0.734493670886076,0.62120253164557,0.671835443037975,0.622784810126582,0.646835443037975
26,0.601898734177215,0.700316455696202,0.630696202531646,0.681012658227848,0.652848101265823,0.665189873417722
27,0.668987341772152,0.699683544303797,0.637658227848101,0.693037974683544,0.623417721518987,0.70126582278481
28,0.728481012658228,0.743670886075949,0.665189873417722,0.716772151898734,0.626898734177215,0.755379746835443
29,0.737658227848101,0.771518987341772,0.639873417721519,0.741139240506329,0.673417721518987,0.779113924050633
30,0.695253164556962,0.777215189873418,0.609177215189874,0.736075949367089,0.657278481012658,0.752848101265823
31,0.666455696202532,0.756962025316456,0.639873417721519,0.712974683544304,0.604430379746835,0.726898734177215
32,0.707278481012658,0.714873417721519,0.697784810126582,0.675316455696202,0.641455696202532,0.674683544303798
33,0.752215189873418,0.715189873417721,0.701898734177215,0.710126582278481,0.650949367088608,0.667088607594937
34,0.766455696202532,0.768670886075949,0.65632911392405,0.753164556962025,0.657594936708861,0.716455696202531
35,0.735126582278481,0.796518987341772,0.652848101265823,0.730696202531645,0.665189873417721,0.690189873417722
36,0.680379746835443,0.813291139240506,0.664240506329114,0.749367088607595,0.63006329113924,0.646835443037975
37,0.675632911392405,0.807278481012658,0.599367088607595,0.725316455696203,0.607594936708861,0.622784810126582
38,0.690506329113924,0.80126582278481,0.619303797468354,0.693670886075949,0.620886075949367,0.676582278481013
39,0.707594936708861,0.805063291139241,0.689873417721519,0.690506329113924,0.679746835443038,0.737974683544304
40,0.712025316455696,0.789556962025317,0.72246835443038,0.700316455696202,0.701898734177215,0.778481012658228
41,0.704430379746835,0.77246835443038,0.726898734177215,0.696202531645569,0.715189873417722,0.773417721518987
