TimePoint,body_vs_faces,body_vs_places,body_vs_tools,faces_vs_places,faces_vs_tools,places_vs_tools
1,0.00603715337225377,0.00542511341413352,0.00629738884244696,0.00536404810612009,0.00636399449060258,0.00552904486099195
2,0.00717821915341516,0.00615003138272349,0.00632036370475699,0.00781216925357617,0.00463503699195028,0.0043189323175337
3,0.00671500165192986,0.00669495623951888,0.00684559847176666,0.0077051737747107,0.0048566033683622,0.00626676484684514
4,0.00683211111331267,0.00750944274947059,0.00555567268204913,0.00573309542073456,0.00648500551033079,0.00705789183741927
5,0.00636068077286132,0.00522467249774976,0.00650812792529447,0.0043292931380946,0.00702983151333267,0.00577888033103303
6,0.00578024827526595,0.00706722052033172,0.0060962318309791,0.00406753945952905,0.00675257276684134,0.00620463872624663
7,0.00555330038906679,0.00506068803838507,0.0052608646198408,0.00452862888510582,0.00572389449132468,0.00705191500405139
8,0.00610702965698801,0.00578799385243548,0.00840749655747535,0.00614788843991383,0.0060724090285165,0.00560666921704786
9,0.00656617976993455,0.00643810224175532,0.00844752354709447,0.00795921588261012,0.00573998643899274,0.0068609801302376
10,0.00576198231625661,0.00582430533690956,0.00614788843991383,0.00672323827397354,0.00534682484403286,0.00887828997742239
11,0.0058166081134487,0.00418064583651693,0.00834709618920416,0.00687939272323862,0.00486798541295977,0.00694990162364052
12,0.00735913944374263,0.004762908608052,0.00810391986838696,0.00548069261589602,0.00627054849080985,0.0058873115549941
13,0.00790639415728309,0.00485063068601396,0.0044753593745984,0.00864975517669938,0.00565114685242626,0.0075168089047666
14,0.00783810155745181,0.00536404810612009,0.00532459878892751,0.00738380761861277,0.00812956987221265,0.00633077926125194
15,0.00661376865001412,0.00443751210414439,0.00526336872042519,0.00744494348973763,0.00847151117907089,0.00549078111502719
16,0.00685521605282738,0.00701594708063697,0.00672441411068186,0.00591589090526058,0.00672441411068186,0.00731640036955583
17,0.00526336872042519,0.00529282763800886,0.0068413624528428,0.0073250400895936,0.00632036370475699,0.0046122378522672
18,0.00594211572770718,0.00587072565174192,0.00562169046089172,0.00768188076254935,0.00495118651288517,0.00703095607646354
19,0.00615816776453377,0.00621821563247273,0.0071351350880826,0.00628566029112079,0.00758799371745721,0.00730342162605048
20,0.00536650405977934,0.00647076659268569,0.00573263572499388,0.0090126296887765,0.0064184238394065,0.00663961854032737
21,0.00600608006509541,0.0072440019887719,0.00731027438989268,0.00513153542972794,0.00500886807497188,0.00592301419610736
22,0.00662372285427143,0.0062600327220638,0.00594078505571026,0.00448946984379252,0.00525735687526461,0.00411712579759637
23,0.00688743275420897,0.00683211111331267,0.00701594708063698,0.00538366436506137,0.00764060222217087,0.00826842605001022
24,0.00658861735467339,0.00523726755121704,0.00771064425731301,0.00620251465007393,0.00851464242334142,0.00929137114476946
25,0.00964240585589256,0.00640321379579934,0.00636689257886614,0.00723490125150599,0.00702983151333267,0.0064544550804972
26,0.00626045369195244,0.00636689257886613,0.00373801449198907,0.0065806127139403,0.00619911461437917,0.00543093956231054
27,0.0057916352455937,0.00512279739541172,0.00624317065043463,0.00678721854098962,0.00603060192879136,0.00437049081042586
28,0.0065404425625274,0.00645282166149584,0.00825087742104157,0.00607197502150966,0.00684867756715311,0.00675257276684134
29,0.00713513508808259,0.0061585956973903,0.00521305817251232,0.00494319599740927,0.00635238891589748,0.00569620253164557
30,0.00579481958756301,0.00474072446971924,0.00624317065043463,0.00438253407054041,0.00662650735188594,0.00572527557337912
31,0.00505287068954677,0.00590518985778003,0.00637723214295268,0.00438674140038459,0.00592479368065888,0.00695255548792542
32,0.00683943612239412,0.00650124037241216,0.00706684760945263,0.00376120818604617,0.00644914495612606,0.00497508105814315
33,0.0070279568415712,0.00523525437891463,0.0056404107606576,0.00640527131771736,0.00654648379897887,0.00714878803663488
34,0.00556515174146201,0.00643605521545902,0.00693471720169035,0.00564227937451064,0.00679342825733059,0.0064544550804972
35,0.00534041348509057,0.00475571011391842,0.0067369435993354,0.00424507792989171,0.00569620253164557,0.00615131679007011
36,0.00522517688279681,0.00406818731164107,0.0060126582278481,0.00577888033103303,0.00578024827526595,0.00563480120107921
37,0.00793799657398612,0.00396251909918192,0.00855447614175717,0.00499622471932116,0.0072308932984491,0.00733798059645353
38,0.00706722052033172,0.00390692789111146,0.00635031425993702,0.00446120427522537,0.00769559107287328,0.00548886092573433
39,0.00700278782102493,0.005247321827224,0.00781925022938408,0.00490035986914031,0.00553666587751202,0.00739522000195889
40,0.00640362535307045,0.00476899115475617,0.00729294972987525,0.0053601162396536,0.00624359275723681,0.005844180486561
41,0.00597087413421304,0.00628691796818499,0.00488689657684636,0.00605676518364661,0.00617739539497526,0.00589089155627052
