TimePoint,body_vs_faces,body_vs_places,body_vs_tools,faces_vs_places,faces_vs_tools,places_vs_tools
1,0.00954792403909591,0.0134738871986708,0.00737380729413789,0.00901058259340732,0.00540174598284463,0.00557839536453812
2,0.00876506814108081,0.0110351871988371,0.00645935285918136,0.0084303477360831,0.00584237644870769,0.00439454432619333
3,0.0068413624528428,0.00651945626794141,0.00927916675115168,0.00719582004412906,0.00612598760472777,0.00805302927977283
4,0.00844034518725214,0.00897893968758505,0.0103652748431879,0.00915565249222461,0.00755039124130963,0.00523324043216616
5,0.00839023880688303,0.00682748074265993,0.00994486355788497,0.00784079090443692,0.00747602898397814,0.00949478119201344
6,0.00973921849515735,0.00753221939488792,0.00848021713134315,0.0093696091104468,0.00718849157696237,0.00775290962068458
7,0.00873494961294208,0.00901058259340731,0.0105667175978184,0.00609147472387073,0.00413500976671595,0.0115604965505319
8,0.0072308932984491,0.00792503819836383,0.0106015765563457,0.00812470584640544,0.00619273451599829,0.00789438545110037
9,0.00714878803663488,0.00956997979507103,0.00977918440191211,0.0126881724426155,0.00670282433042246,0.00755039124130963
10,0.00892713315154989,0.00817643961232878,0.00853967599893926,0.00800576622827438,0.00765438646975076,0.0100377096192571
11,0.00677789329929564,0.00569064796910396,0.00900238955694609,0.00753921374999782,0.00962708828330485,0.00773112409220844
12,0.00781385578222292,0.00643482668710842,0.00792503819836383,0.0108841778243862,0.00976624040629596,0.00834109528684138
13,0.00853967599893926,0.00605502448374469,0.00531320290072788,0.0106808269701811,0.00856063531610377,0.00820860764753755
14,0.00911295242433498,0.00450821510212316,0.00731640036955584,0.00674046332165453,0.00865858627618921,0.00907237549929338
15,0.0082380913023705,0.00731640036955583,0.00720753009263079,0.00872528972653334,0.0102012569814237,0.00943128514001692
16,0.00766126929325253,0.00979964409543721,0.00946698447801935,0.0104251052296322,0.00707765404781843,0.0109228497452041
17,0.00818674713563013,0.00716646121079067,0.00935947797490826,0.00834109528684138,0.00608454865599837,0.00506953312781066
18,0.00786093167973062,0.00716646121079067,0.00882738551635011,0.00937748131537305,0.00776377946075186,0.0110542759299332
19,0.00752241637209234,0.00756573332855397,0.00906656397124888,0.00798467062842299,0.00764336106039841,0.00869260835725521
20,0.00707020309928718,0.00862809605446412,0.00956997979507103,0.0101182510699309,0.0101847099194659,0.0097834952614567
21,0.00950365896972851,0.00769833020485995,0.00773112409220844,0.0084303477360831,0.00765025380330909,0.0108064188159617
22,0.00735233222486508,0.00901058259340731,0.0114136673300514,0.00515203705124626,0.00818674713563013,0.00680273220360867
23,0.00831578082698464,0.00900238955694609,0.00938310027526089,0.00786093167973062,0.00945026720472854,0.0102917902823864
24,0.0122957768798277,0.00830944016206957,0.00901993695107143,0.00604108082796934,0.0129056433229917,0.0121230990617615
25,0.0124525258256447,0.00621991066198015,0.010561728354612,0.0086378646350674,0.00937748131537304,0.00906656397124888
26,0.0106808269701811,0.00568137829693081,0.00793168616379621,0.00629571467284608,0.0101795334464914,0.0077051737747107
27,0.008141555378104,0.00793168616379622,0.00839023880688303,0.00942233917154413,0.00849139738291059,0.00588014501362191
28,0.00736951728662216,0.00768873897368458,0.00980932063483564,0.00577888033103303,0.00902577850142215,0.00882141259089705
29,0.00829547363958608,0.00714288726135234,0.00934143993747297,0.00718849157696237,0.00598498135797458,0.00911873438825933
30,0.00776377946075186,0.00405261027685623,0.00671696366852452,0.00730486484741147,0.00991088570563665,0.00622837889008407
31,0.00922333285924667,0.00702232982352826,0.0106264058014558,0.00702232982352827,0.00886908336539247,0.00699375001839345
32,0.00832971330025185,0.0105866510575237,0.0109815622300544,0.00883096733249115,0.00886075949367089,0.00904444610875161
33,0.00927916675115168,0.00688896312479873,0.00937748131537304,0.00839023880688302,0.00638053726478273,0.00771611086151427
34,0.00638053726478273,0.00591410874197108,0.0117746231099882,0.00911295242433497,0.00906656397124888,0.00791438983856854
35,0.00732360084405665,0.00461680668731739,0.00885123691220554,0.006327448148545,0.00904910699342518,0.00875544148453411
36,0.00747602898397814,0.00454315400061488,0.00976192192701947,0.00622837889008407,0.0101380265113479,0.00702983151333267
37,0.00886075949367088,0.00520293768505514,0.012144818057033,0.00921075220220977,0.0105906332472668,0.00943128514001692
38,0.00769833020485995,0.00453618774964669,0.00954792403909591,0.00718849157696237,0.00975760153648831,0.0100293045856548
39,0.00758799371745721,0.00563105839017067,0.00842159023069151,0.00834109528684138,0.00745343420926914,0.00631410612389724
40,0.00801103144832942,0.00356849080368876,0.00881304369450386,0.00942233917154413,0.00981684023780641,0.00639374066693121
41,0.00846030464802232,0.0073966453117923,0.00617910162215736,0.00592301419610737,0.00503824585224641,0.00717821915341515
